Harina de pescado,M,S
Harina de Trimming de Pescado,M,S
Aceite de Pescado,M,A
Aceite de Trimming de Pescado,M,A
Harina de Cerdo,A,S
Harina de Trigo,V,S
Expeller de Mani,V,S
Harina de Krill,M,S
Aceite de Girasol,V,A
Gluten de Trigo,V,S
Gluten de Maiz,V,S
Harina Aviar,A,S
Acidos Grasos Marinos,M,A
Lupino,V,S
Grasa de Ave,A,A
Sangre Cerdo,A,S
Harina de Soya,V,S
Harina de Plumas,A,S
Concentrado de Soya,V,S
Lecitina de Soya,V,A
